model,params_M_total_mean,params_M_total_std,best_epoch_mean,best_epoch_std,best_val_macro_f1_mean,best_val_macro_f1_std,test_train_env_accuracy_mean,test_train_env_accuracy_std,test_train_env_macro_f1_mean,test_train_env_macro_f1_std,test_train_env_fall_recall_mean,test_train_env_fall_recall_std,test_train_env_nonfall_recall_mean,test_train_env_nonfall_recall_std,test_living_room_accuracy_mean,test_living_room_accuracy_std,test_living_room_macro_f1_mean,test_living_room_macro_f1_std,test_living_room_fall_recall_mean,test_living_room_fall_recall_std,test_living_room_nonfall_recall_mean,test_living_room_nonfall_recall_std,test_lecture_room_accuracy_mean,test_lecture_room_accuracy_std,test_lecture_room_macro_f1_mean,test_lecture_room_macro_f1_std,test_lecture_room_fall_recall_mean,test_lecture_room_fall_recall_std,test_lecture_room_nonfall_recall_mean,test_lecture_room_nonfall_recall_std
resnet18,11.171266,0.0,50.8,26.843248685656512,0.9966892808683854,0.00662143826322934,0.9967213114754099,0.006557377049180335,0.9966892808683854,0.00662143826322934,1.0,0.0,0.9941176470588236,0.011764705882352944,0.8846774193548387,0.022319923392093606,0.8805257783460823,0.022428722387857036,0.9494505494505494,0.023671054097294492,0.8471337579617835,0.031719489421627334,0.8878048780487805,0.04286025880290496,0.8837573493329477,0.047799944456726765,0.7854166666666667,0.1055327095159495,0.9779816513761468,0.01797790636905085
wavemamba_default,0.196738,0.0,60.6,35.39265460515784,0.9933785617367706,0.008109572554126164,0.9934426229508196,0.008031113910764527,0.9933785617367706,0.008109572554126164,1.0,0.0,0.9882352941176471,0.014408763192842228,0.8233870967741935,0.05191444174010026,0.8211343880158679,0.0511380567482879,0.9604395604395605,0.01490621974313245,0.7439490445859872,0.07784262989784557,0.9502439024390243,0.025885852022286028,0.9496498800050831,0.026578507018589558,0.9208333333333333,0.05987544942999964,0.9761467889908257,0.012444642170872043
wavemamba_interp_1x1,0.165922,0.0,38.2,16.749925372968082,0.9966892808683854,0.00662143826322934,0.9967213114754099,0.006557377049180335,0.9966892808683854,0.00662143826322934,1.0,0.0,0.9941176470588236,0.011764705882352944,0.7774193548387096,0.0824160405873627,0.7752291937783173,0.08066055649976156,0.9428571428571428,0.0321510743699512,0.6815286624203821,0.14468556295032545,0.9209756097560976,0.018355988021684647,0.9197898341073476,0.018778243823598835,0.8791666666666667,0.07234898064243891,0.9577981651376147,0.07096909947087603
lstm,0.621058,0.0,31.8,19.093454375780198,0.9206867211253487,0.019784468122077285,0.921311475409836,0.01911787506506658,0.9206867211253487,0.019784468122077285,0.9555555555555555,0.05443310539518173,0.8941176470588235,0.014408763192842228,0.6362903225806451,0.03289690008769536,0.635658174301756,0.03312689628756935,0.865934065934066,0.014578570507056694,0.5031847133757962,0.05823760229636921,0.6673170731707317,0.054616721960110845,0.6651333716368673,0.056261482437533414,0.7583333333333333,0.06263873490988714,0.5871559633027523,0.09622099524496802
