model,params_M_total_mean,params_M_total_std,best_epoch_mean,best_epoch_std,best_val_macro_f1_mean,best_val_macro_f1_std,test_id_accuracy_mean,test_id_accuracy_std,test_id_macro_f1_mean,test_id_macro_f1_std,test_id_fall_recall_mean,test_id_fall_recall_std,test_id_nonfall_recall_mean,test_id_nonfall_recall_std,test_cross_env_accuracy_mean,test_cross_env_accuracy_std,test_cross_env_macro_f1_mean,test_cross_env_macro_f1_std,test_cross_env_fall_recall_mean,test_cross_env_fall_recall_std,test_cross_env_nonfall_recall_mean,test_cross_env_nonfall_recall_std
wavemamba_interp_1x1,0.165922,0.0,94.4,16.426807358704856,0.9778571650793648,0.0015068848999855292,0.9728813559322034,0.0041657749477204,0.9712769682270644,0.0044094079234689105,0.9812903225806452,0.007741935483870988,0.9678294573643411,0.004841083719688638,0.6878836833602585,0.010186677072978653,0.6742577962153107,0.012714463035443999,0.6967088607594937,0.024825621614443065,0.6723214285714286,0.0485438472109578
wavemamba_default,0.196738,0.0,82.4,22.294393914165955,0.9799134526322889,0.0013631186968183096,0.9726392251815981,0.0030242121057619214,0.9710339607094086,0.0031759362933449996,0.9819354838709677,0.003289690008769538,0.9670542635658915,0.0042459112984896165,0.6655896607431341,0.017005101605093092,0.6522996599673764,0.013681812143483107,0.6724050632911392,0.04192453983693053,0.6535714285714286,0.039184121888378005
lstm,0.766466,0.0,77.4,22.747307532980688,0.9234075762582289,0.009418530254684818,0.9200968523002421,0.007462970947904358,0.9153185882450268,0.007764582048010544,0.9090322580645162,0.008510261908563157,0.9267441860465117,0.009604272630514643,0.65718901453958,0.02383956929976959,0.6337480959310261,0.022164722684161524,0.7134177215189873,0.03271215251688728,0.5580357142857143,0.014117310982894536
resnet18,11.171266,0.0,74.6,9.562426470305537,0.9856041389946381,0.003303498345260116,0.9789346246973366,0.0018119406231350995,0.9777244747917615,0.0019034399942691315,0.9935483870967742,0.002040179135592508,0.9701550387596899,0.0026288100709787386,0.6142164781906301,0.018345808809794358,0.5885502320037864,0.018327981437328417,0.6759493670886076,0.0290422894171139,0.5053571428571428,0.03564725853156628
